Project,#Entrypoints,#Confirmed,#Candidates,#FP,Recall,Precision,Total_Time_Min,#Tokens,#Harness_Errors,#Timeouts
libxml2,17,17,0,0,0.0%,100.0%,1153.4,0,0,0
libxml2_55980_vul,0,0,0,0,0%,0%,0.0,0,0,0
