Spec_ID,File,Line,Inferred_Entrypoint,Status,CWE,Time,Tokens
031_HTMLparser.c_2325_local_cpp_cwe-120-overflow,HTMLparser.c,2325,htmlDecodeEntities,HARNESS_ERROR,120,3.5s,0
033_runtest.c_3891_local_cpp_cwe-120-overflow,runtest.c,3891,patternTest,HARNESS_ERROR,120,7.1s,0
034_runtest.c_3895_local_cpp_cwe-120-overflow,runtest.c,3895,patternTest,HARNESS_ERROR,120,7.9s,0
035_runtest.c_3922_local_cpp_cwe-120-overflow,runtest.c,3922,patternTest,HARNESS_ERROR,120,4.1s,0
036_runtest.c_3736_local_cpp_cwe-120-overflow,runtest.c,3736,rngStreamTest,HARNESS_ERROR,120,12.8s,0
037_runtest.c_3651_local_cpp_cwe-120-overflow,runtest.c,3651,rngTest,REACHED_ONLY,120,63.1s,0
038_runtest.c_3486_local_cpp_cwe-120-overflow,runtest.c,3486,schemasTest,HARNESS_ERROR,120,12.3s,0
039_runtest.c_3494_local_cpp_cwe-120-overflow,runtest.c,3494,schemasTest,HARNESS_ERROR,120,4275.2s,0
040_runtest.c_3305_local_cpp_cwe-120-overflow,runtest.c,3305,uripRead,HARNESS_ERROR,120,4.1s,0
041_runtest.c_3116_local_cpp_cwe-120-overflow,runtest.c,3116,uriCommonTest,HARNESS_ERROR,120,4.1s,0
042_relaxng.c_9384_local_cpp_cwe-120-overflow,relaxng.c,9384,xmlRelaxNGValidateInterleave,HARNESS_ERROR,120,4.2s,0
043_relaxng.c_9390_local_cpp_cwe-120-overflow,relaxng.c,9390,xmlRelaxNGValidateInterleave,HARNESS_ERROR,120,4.5s,0
044_runtest.c_2809_local_cpp_cwe-120-overflow,runtest.c,2809,xpathCommonTest,HARNESS_ERROR,120,4.1s,0
045_testrecurse.c_628_local_cpp_cwe-120-overflow,testrecurse.c,628,if,HARNESS_ERROR,120,40.9s,0
046_testrecurse.c_247_local_cpp_cwe-120-overflow,testrecurse.c,247,hugeRead,HARNESS_ERROR,120,3.7s,0
047_testrecurse.c_260_local_cpp_cwe-120-overflow,testrecurse.c,260,hugeRead,HARNESS_ERROR,120,4.0s,0
048_testchar.c_602_local_cpp_cwe-120-overflow,testchar.c,602,main,SYSTEM_ERROR,120,0.0s,0
051_runtest.c_747_local_cpp_cwe-120-overflow,runtest.c,747,loadMem,HARNESS_ERROR,120,4.1s,0
052_runtest.c_710_local_cpp_cwe-120-overflow,runtest.c,710,if,SYSTEM_ERROR,120,0.0s,0
053_runtest.c_628_local_cpp_cwe-120-overflow,runtest.c,628,if,SYSTEM_ERROR,120,0.0s,0
054_runtest.c_648_local_cpp_cwe-120-overflow,runtest.c,648,if,SYSTEM_ERROR,120,0.0s,0
055_runtest.c_649_local_cpp_cwe-120-overflow,runtest.c,649,if,SYSTEM_ERROR,120,0.0s,0
056_runtest.c_583_local_cpp_cwe-120-overflow,runtest.c,583,if,SYSTEM_ERROR,120,0.0s,0
057_testlimits.c_336_local_cpp_cwe-120-overflow,testlimits.c,336,crazyRead,SYSTEM_ERROR,120,0.0s,0
058_testlimits.c_340_local_cpp_cwe-120-overflow,testlimits.c,340,hugeRead,SYSTEM_ERROR,120,0.0s,0
059_testlimits.c_348_local_cpp_cwe-120-overflow,testlimits.c,348,hugeRead,SYSTEM_ERROR,120,0.0s,0
060_testlimits.c_352_local_cpp_cwe-120-overflow,testlimits.c,352,hugeRead,SYSTEM_ERROR,120,0.0s,0
061_testlimits.c_358_local_cpp_cwe-120-overflow,testlimits.c,358,crazyRead,HARNESS_ERROR,120,4.1s,0
062_testlimits.c_189_local_cpp_cwe-120-overflow,testlimits.c,189,hugeRead,HARNESS_ERROR,120,4.7s,0
064_testlimits.c_202_local_cpp_cwe-120-overflow,testlimits.c,202,hugeRead,SYSTEM_ERROR,120,0.0s,0
065_testlimits.c_206_local_cpp_cwe-120-overflow,testlimits.c,206,hugeRead,HARNESS_ERROR,120,4.4s,0
066_testlimits.c_212_local_cpp_cwe-120-overflow,testlimits.c,212,hugeRead,SYSTEM_ERROR,120,0.0s,0
067_tree.c_7688_local_cpp_cwe-120-overflow,tree.c,7688,xmlBufferAddHead,CONFIRMED,120,5.0s,0
068_tree.c_7708_local_cpp_cwe-120-overflow,tree.c,7708,xmlBufferAddHead,REACHED_ONLY,120,3.7s,0
069_tree.c_7709_local_cpp_cwe-120-overflow,tree.c,7709,xmlBufferAddHead,CONFIRMED,120,3.6s,0
070_tree.c_7635_local_cpp_cwe-120-overflow,tree.c,7635,xmlBufferAdd,CONFIRMED,120,33.9s,0
071_tree.c_7544_local_cpp_cwe-120-overflow,tree.c,7544,xmlBufferResize,HARNESS_ERROR,120,3.8s,0
072_tree.c_7572_local_cpp_cwe-120-overflow,tree.c,7572,xmlBufferResize,SYSTEM_ERROR,120,0.0s,0
073_libxml.c_3566_local_cpp_cwe-120-overflow,libxml.c,3566,PystringSet_Convert,HARNESS_ERROR,120,3.9s,0
074_xmlcatalog.c_81_local_cpp_cwe-120-overflow,xmlcatalog.c,81,xmlShellReadline,HARNESS_ERROR,120,6.4s,0
075_xmlcatalog.c_87_local_cpp_cwe-120-overflow,xmlcatalog.c,87,xmlShellReadline,HARNESS_ERROR,120,3.6s,0
076_tree.c_7338_local_cpp_cwe-120-overflow,tree.c,7338,xmlBufferShrink,CONFIRMED,120,879.5s,0
077_tree.c_7345_local_cpp_cwe-120-overflow,tree.c,7345,xmlBufferShrink,REACHED_ONLY,120,4.5s,0
078_libxml.c_3512_local_cpp_cwe-120-overflow,libxml.c,3512,PyxmlNodeSet_Convert,HARNESS_ERROR,120,4.2s,0
079_xmlmemory.c_448_local_cpp_cwe-120-overflow,xmlmemory.c,448,xmlMemFree,CONFIRMED,120,6.5s,0
081_xmlregexp.c_6217_local_cpp_cwe-120-overflow,xmlregexp.c,6217,xmlAutomataNewOnceTrans2,HARNESS_ERROR,120,3.9s,0
