Spec_ID,File,Line,Inferred_Entrypoint,Status,CWE,Time,Tokens
047_uri.c_2662_local_cpp_cwe-120-overflow,uri.c,2662,xmlBuildRelativeURISafe,HARNESS_ERROR,120,728.3s,0
048_parser.c_9108_local_cpp_cwe-120-overflow,parser.c,9108,xmlParseStartTag2,SYSTEM_ERROR,120,0.0s,0
049_uri.c_2433_local_cpp_cwe-120-overflow,uri.c,2433,xmlParseUriOrPath,HARNESS_ERROR,120,60.5s,0
050_uri.c_2435_local_cpp_cwe-120-overflow,uri.c,2435,xmlParseUriOrPath,HARNESS_ERROR,120,61.3s,0
054_dict.c_784_local_cpp_cwe-120-overflow,dict.c,784,xmlDictLookupInternal,REACHED_ONLY,120,3.9s,0
055_dict.c_790_local_cpp_cwe-120-overflow,dict.c,790,xmlDictLookup,REACHED_ONLY,120,3.8s,0
056_dict.c_609_local_cpp_cwe-120-overflow,dict.c,609,xmlDictGrow,REACHED_ONLY,120,4.0s,0
057_dict.c_237_local_cpp_cwe-120-overflow,dict.c,237,xmlDictQLookup,REACHED_ONLY,120,4.2s,0
058_dict.c_240_local_cpp_cwe-120-overflow,dict.c,240,xmlDictQLookup,REACHED_ONLY,120,4.0s,0
059_dict.c_178_local_cpp_cwe-120-overflow,dict.c,178,xmlDictLookup,REACHED_ONLY,120,3.9s,0
060_runtest.c_4867_local_cpp_cwe-120-overflow,runtest.c,4867,automataTest,HARNESS_ERROR,120,125.8s,0
061_testrecurse.c_429_local_cpp_cwe-120-overflow,testrecurse.c,429,if,HARNESS_ERROR,120,11.2s,0
062_testrecurse.c_329_local_cpp_cwe-120-overflow,testrecurse.c,329,hugeRead,HARNESS_ERROR,120,4.2s,0
063_testrecurse.c_338_local_cpp_cwe-120-overflow,testrecurse.c,338,hugeRead,HARNESS_ERROR,120,3.9s,0
064_buf.c_1036_local_cpp_cwe-120-overflow,buf.c,1036,xmlBufferAddHead,CONFIRMED,120,5058.5s,0
065_buf.c_1042_local_cpp_cwe-120-overflow,buf.c,1042,xmlBufferAddHead,CONFIRMED,120,5.6s,0
067_runtest.c_4731_local_cpp_cwe-120-overflow,runtest.c,4731,regexpTest,HARNESS_ERROR,120,4.1s,0
068_buf.c_1056_local_cpp_cwe-120-overflow,buf.c,1056,xmlBufferAddHead,HARNESS_ERROR,120,62.9s,0
069_buf.c_1057_local_cpp_cwe-120-overflow,buf.c,1057,xmlBufferAddHead,REACHED_ONLY,120,7.7s,0
