Project,#Entrypoints,#Confirmed,#Candidates,#FP,Recall,Precision,Total_Time_Min,#Tokens,#Harness_Errors,#Timeouts
binutils_19910_vul,23,0,0,0,0%,0%,5.4,0,15,0
libxml2_55980_vul,75,7,0,9,0%,43.8%,168.4,0,39,0
libxml2_62911_vul,0,0,0,0,0%,0%,0.0,0,0,0
