Entrypoint,SA_Vuln,Count,Review_Spec_IDs,Notes
decimal64FromString,decimal64.c:372,1,110_decimal64.c_372_local_cpp_cwe-120-overflow,
decimal64ToNumber,decimal64.c:226,1,118_decimal64.c_226_local_cpp_cwe-120-overflow,
decimal64ToString,decimal64.c:318,1,092_decimal64.c_318_local_cpp_cwe-120-overflow,
decimal64ToString,decimal64.c:321,1,093_decimal64.c_321_local_cpp_cwe-120-overflow,
dlang_demangle,d-demangle.c:1636,1,126_d-demangle.c_1636_local.oob.memfunc.length-misuse.maxcover.v5,
dlang_parse_real,d-demangle.c:1051,1,150_d-demangle.c_1051_local.oob.memfunc.length-misuse.maxcover.v5,
dlang_parse_real,d-demangle.c:1063,1,152_d-demangle.c_1063_local.oob.memfunc.length-misuse.maxcover.v5,
dlang_parse_real,d-demangle.c:1057,1,151_d-demangle.c_1057_local.oob.memfunc.length-misuse.maxcover.v5,
dyn_string_insert,dyn-string.c:257,2,130_dyn-string.c_257_local_cpp_cwe-120-overflow; 140_dyn-string.c_257_local.oob.memfunc.length-misuse.maxcover.v5,
dyn_string_insert_cstr,dyn-string.c:280,2,129_dyn-string.c_280_local_cpp_cwe-120-overflow; 134_dyn-string.c_280_local.oob.memfunc.length-misuse.maxcover.v5,
expandargv,argv.c:467,2,061_argv.c_467_local.oob.memfunc.length-misuse.maxcover.v5; 073_argv.c_467_local_cpp_cwe-120-overflow,
expandargv,argv.c:465,2,060_argv.c_465_local.oob.memfunc.length-misuse.maxcover.v5; 072_argv.c_465_local_cpp_cwe-120-overflow,
fibheap_consolidate,fibheap.c:368,1,131_fibheap.c_368_local.oob.memfunc.length-misuse.maxcover.v5,
fibheap_extract_min,fibheap.c:368,1,131_fibheap.c_368_local_cpp_cwe-120-overflow,
filename_ncmp,filename_cmp.c:118,1,135_filename_cmp.c_118_local.oob.memfunc.length-misuse.maxcover.v5,
