Entrypoint,SA_Vuln,Count,Review_Spec_IDs,Notes
UTF8ToUTF8,encoding.c:391,1,012_encoding.c_391_local_cpp_cwe-120-overflow,
automataTest,runtest.c:4731,1,024_runtest.c_4731_local_cpp_cwe-120-overflow,
c14nCommonTest,runtest.c:4264,1,028_runtest.c_4264_local_cpp_cwe-120-overflow,
crazyRead,testlimits.c:336,1,057_testlimits.c_336_local_cpp_cwe-120-overflow,
crazyRead,testlimits.c:358,1,061_testlimits.c_358_local_cpp_cwe-120-overflow,
htmlDecodeEntities,HTMLparser.c:2325,1,031_HTMLparser.c_2325_local_cpp_cwe-120-overflow,
htmlEncodeEntities,HTMLparser.c:2226,1,032_HTMLparser.c_2226_local_cpp_cwe-120-overflow,
hugeRead,testlimits.c:189,1,062_testlimits.c_189_local_cpp_cwe-120-overflow,
hugeRead,testlimits.c:348,1,059_testlimits.c_348_local_cpp_cwe-120-overflow,
hugeRead,testrecurse.c:260,1,047_testrecurse.c_260_local_cpp_cwe-120-overflow,
hugeRead,testlimits.c:352,1,060_testlimits.c_352_local_cpp_cwe-120-overflow,
hugeRead,testrecurse.c:247,1,046_testrecurse.c_247_local_cpp_cwe-120-overflow,
hugeRead,testlimits.c:340,1,058_testlimits.c_340_local_cpp_cwe-120-overflow,
if,runtest.c:628,1,053_runtest.c_628_local_cpp_cwe-120-overflow,Check Planner (Hallucination)
if,runtest.c:710,1,052_runtest.c_710_local_cpp_cwe-120-overflow,Check Planner (Hallucination)
if,runtest.c:648,1,054_runtest.c_648_local_cpp_cwe-120-overflow,Check Planner (Hallucination)
if,c14n.c:304,1,023_c14n.c_304_local_cpp_cwe-120-overflow,Check Planner (Hallucination)
if,c14n.c:329,1,021_c14n.c_329_local_cpp_cwe-120-overflow,Check Planner (Hallucination)
if,c14n.c:328,1,020_c14n.c_328_local_cpp_cwe-120-overflow,Check Planner (Hallucination)
if,runtest.c:583,1,056_runtest.c_583_local_cpp_cwe-120-overflow,Check Planner (Hallucination)
if,c14n.c:300,1,022_c14n.c_300_local_cpp_cwe-120-overflow,Check Planner (Hallucination)
if,testrecurse.c:628,1,045_testrecurse.c_628_local_cpp_cwe-120-overflow,Check Planner (Hallucination)
loadMem,runtest.c:747,1,051_runtest.c_747_local_cpp_cwe-120-overflow,
main,testchar.c:602,1,048_testchar.c_602_local_cpp_cwe-120-overflow,
main,testThreads.c:115,1,030_testThreads.c_115_local_cpp_cwe-120-overflow,
patternTest,runtest.c:3891,1,033_runtest.c_3891_local_cpp_cwe-120-overflow,
patternTest,runtest.c:3922,1,035_runtest.c_3922_local_cpp_cwe-120-overflow,
patternTest,runtest.c:3895,1,034_runtest.c_3895_local_cpp_cwe-120-overflow,
regexpTest,runtest.c:4595,1,026_runtest.c_4595_local_cpp_cwe-120-overflow,
rngStreamTest,runtest.c:3736,1,036_runtest.c_3736_local_cpp_cwe-120-overflow,
rngTest,runtest.c:3651,1,037_runtest.c_3651_local_cpp_cwe-120-overflow,
schemasTest,runtest.c:3486,1,038_runtest.c_3486_local_cpp_cwe-120-overflow,
schemasTest,runtest.c:3494,1,039_runtest.c_3494_local_cpp_cwe-120-overflow,
uriCommonTest,runtest.c:3116,1,041_runtest.c_3116_local_cpp_cwe-120-overflow,
uripRead,runtest.c:3305,1,040_runtest.c_3305_local_cpp_cwe-120-overflow,
xmlBufAdd,buf.c:823,1,009_buf.c_823_local_cpp_cwe-120-overflow,
xmlBufResize,buf.c:749,1,011_buf.c_749_local_cpp_cwe-120-overflow,
xmlBufResize,buf.c:721,1,010_buf.c_721_local_cpp_cwe-120-overflow,
xmlBufShrink,buf.c:364,1,013_buf.c_364_local_cpp_cwe-120-overflow,
xmlBufShrink,buf.c:371,1,014_buf.c_371_local_cpp_cwe-120-overflow,
xmlBuildRelativeURI,uri.c:2337,1,050_uri.c_2337_local_cpp_cwe-120-overflow,
xmlBuildRelativeURI,uri.c:2334,1,049_uri.c_2334_local_cpp_cwe-120-overflow,
xmlDictCreate,dict.c:601,1,004_dict.c_601_local_cpp_cwe-120-overflow,
xmlDictGrow,dict.c:705,1,002_dict.c_705_local_cpp_cwe-120-overflow,
xmlDictLookup,dict.c:290,1,007_dict.c_290_local_cpp_cwe-120-overflow,
xmlDictQLookup,dict.c:358,1,005_dict.c_358_local_cpp_cwe-120-overflow,
xmlDictQLookup,dict.c:361,1,006_dict.c_361_local_cpp_cwe-120-overflow,
xmlHashCreate,hash.c:191,1,016_hash.c_191_local_cpp_cwe-120-overflow,
xmlHashGrow,hash.c:259,1,015_hash.c_259_local_cpp_cwe-120-overflow,
xmlLoadFileContent,catalog.c:997,1,029_catalog.c_997_local_cpp_cwe-120-overflow,
xmlMemStrdupLoc,xmlmemory.c:529,1,000_xmlmemory.c_529_cpp_unbounded-write,
xmlNanoHTTPBypassProxy,nanohttp.c:1325,1,017_nanohttp.c_1325_local_cpp_cwe-120-overflow,
xmlNanoHTTPConnectHost,nanohttp.c:1123,1,019_nanohttp.c_1123_local_cpp_cwe-120-overflow,
xmlNanoHTTPRead,nanohttp.c:1242,1,018_nanohttp.c_1242_local_cpp_cwe-120-overflow,
xmlNanoHTTPRecv,nanohttp.c:550,1,027_nanohttp.c_550_local_cpp_cwe-120-overflow,
xmlNanoHTTPRecv,nanohttp.c:527,1,025_nanohttp.c_527_local_cpp_cwe-120-overflow,
xmlRelaxNGValidateInterleave,relaxng.c:9390,1,043_relaxng.c_9390_local_cpp_cwe-120-overflow,
xmlRelaxNGValidateInterleave,relaxng.c:9384,1,042_relaxng.c_9384_local_cpp_cwe-120-overflow,
xmlSAX2AttributeNs,SAX2.c:1884,1,003_SAX2.c_1884_local_cpp_cwe-120-overflow,
xmlSAX2Characters,SAX2.c:2629,1,001_SAX2.c_2629_local_cpp_cwe-120-overflow,
xpathCommonTest,runtest.c:2809,1,044_runtest.c_2809_local_cpp_cwe-120-overflow,
